0,1,2,3,4,5,6,7,8,9,10
0,26,16,21,25,17,5,9,65,11,103
1,1,820,774,11,17,5,16,21,25,9
2,698,101,541,685,743,2,826,45,39,114
3,1499,922,276,14,3,11,21,16,25,5
4,4,70,557,330,1210,511,424,946,1057,1163
5,1867,500,102,11,65,9,5,25,21,16
6,1458,6,301,239,195,155,9,21,16,25
7,644,492,1551,7,1478,1070,1785,75,1776,1668
8,1236,1153,811,1294,771,301,15,49,106,0
9,433,10,49,26,9,17,16,21,25,5
10,1249,1042,35,370,39,207,114,3,11,5
11,12,1758,1510,111,44,58,16,21,25,17
12,24,555,479,124,170,173,1340,13,1362,1755
13,834,728,167,358,20,207,11,9,5,21
14,483,1128,937,1820,1705,714,1324,128,34,207
15,1096,1659,1784,243,74,315,78,65,16,21
16,1008,1326,241,1292,1042,462,110,221,303,28
17,205,10,757,78,65,17,25,16,21,5
18,1331,813,1150,552,1257,243,43,103,3,9
19,0,1279,1278,1277,1276,1275,1274,1273,1272,1271
20,1665,18,1031,78,9,16,21,25,5,17
21,95,179,17,16,21,5,25,9,65,11
22,1293,1097,966,1318,1778,663,1747,1051,408,203
23,397,258,1482,366,1890,1595,548,94,74,370
24,368,1109,1081,595,442,367,9,17,21,16
25,539,1022,1094,1072,524,1141,1857,656,1632,578
26,939,821,53,22,466,212,58,39,49,136
27,1757,1489,1840,503,676,991,73,17,25,16
28,686,949,3,17,21,16,25,5,9,65
29,1067,1518,1372,798,371,22,80,315,17,25
30,673,358,20,26,102,17,21,16,25,5
31,14,103,114,102,3,11,9,5,17,21
32,27,1119,1500,403,59,49,9,17,5,21
33,194,1575,700,74,31,59,40,11,65,17
34,756,29,92,259,40,11,25,16,21,5
35,30,169,17,16,21,25,5,9,65,11
36,239,21,16,25,5,17,9,1003,11,259
37,32,1030,1175,374,395,146,316,1417,309,297
38,1576,995,562,1727,372,836,214,1027,1123,757
39,223,1521,60,26,40,65,17,21,16,25
40,1280,855,1593,696,5,21,16,25,17,9
41,1578,340,1031,74,370,31,65,9,25,16
42,721,997,542,234,3,11,9,5,21,16
43,304,354,1025,496,626,749,488,57,270,94
44,1343,741,113,510,88,39,11,5,21,16
45,1173,964,1268,941,36,80,370,106,114,102
46,37,306,1241,1415,5,21,16,25,17,9
47,707,1729,261,88,166,0,155,102,11,65
48,1900,1745,34,38,59,9,5,16,21,25
49,1105,1833,739,1710,1271,1865,894,766,923,821
50,776,255,298,346,243,54,71,370,166,155
51,288,158,715,1065,690,1252,205,466,567,31
52,184,182,148,259,198,40,16,21,25,5
53,3,11,5,25,16,21,17,9,65,102
54,1433,1598,1774,42,31,198,40,9,5,16
55,329,41,92,25,21,16,5,17,9,65
56,913,1540,1272,1053,156,419,260,965,283,43
57,117,34,66,44,198,33,9,21,16,25
58,0,1279,1278,1277,1276,1275,1274,1273,1272,1271
59,314,244,161,297,3,65,5,25,16,21
60,388,1013,841,769,310,66,39,207,155,78
61,1162,1260,1582,1268,250,567,38,239,5,21
62,429,47,1066,155,5,16,21,25,17,9
63,585,879,3,5,16,21,25,17,9,65
64,669,60,57,234,40,3,9,17,5,25
65,1075,1298,1197,1577,1311,200,552,48,89,259
66,150,267,1266,891,110,92,297,49,25,21
67,38,3,11,5,16,21,25,17,9,65
68,1192,371,35,212,14,155,114,102,3,11
69,50,261,74,39,17,16,21,25,5,9
70,332,773,1695,565,564,393,65,25,16,21
