0,1,2,3,4,5,6,7,8,9,10
0,0,26,21,16,25,17,5,9,33,65
1,1,780,823,108,11,5,17,21,16,25
2,542,2,688,747,701,928,45,165,112,78
3,922,1487,727,277,153,14,11,3,9,25
4,4,557,1208,1843,512,1387,1052,946,911,331
5,1851,501,701,38,320,100,11,65,9,5
6,6,692,1240,926,1445,302,239,194,153,100
7,647,493,1466,1544,7,660,1066,75,1651,1761
8,815,1290,1233,1156,777,408,15,302,49,0
9,432,10,49,0,26,9,17,16,21,25
10,1248,1036,35,374,371,206,112,39,11,3
11,1743,12,1745,1265,1498,286,341,109,44,58
12,24,122,1330,169,172,1215,1646,1352,1332,1835
13,839,732,359,166,20,206,101,39,11,9
14,484,1805,1130,936,717,1319,126,34,0,206
15,1094,1644,1769,1202,446,334,955,139,73,74
16,1003,1321,1288,1036,401,241,108,304,15,463
17,764,10,204,166,78,3,65,17,25,16
18,1325,552,1153,671,43,226,243,101,3,9
19,17,21,16,25,5,9,1444,33,65,1698
20,1650,957,18,1025,272,133,263,197,69,78
21,1180,1437,19,447,94,179,194,39,17,21
22,1289,964,1095,739,835,1763,1312,1146,666,1735
23,397,1469,1682,1872,1582,367,74,93,234,371
24,369,1110,1079,595,442,459,368,9,17,21
25,540,1068,1017,1092,525,1841,1620,1143,961,620
26,938,1747,824,53,22,468,211,49,58,316
27,1742,1476,1825,504,679,988,23,73,17,25
28,689,1189,948,3,17,21,16,25,5,9
29,1063,1508,803,372,22,80,316,17,25,21
30,676,359,269,20,26,17,21,16,25,5
31,452,371,165,14,112,101,78,100,11,3
32,27,1120,1671,1488,416,274,49,403,59,31
33,193,294,1801,1043,1542,1490,1441,925,1705,770
34,1804,763,524,367,152,29,259,91,316,40
35,1206,168,30,17,16,21,25,5,9,65
36,239,31,21,16,25,5,17,9,33,65
37,1175,395,1041,375,1720,317,32,1024,883,1403
38,373,805,992,562,1724,1501,1760,213,1715,841
39,1512,222,60,26,40,65,17,16,21,25
40,1276,857,1578,1050,1580,1871,1707,1509,228,1234
41,1442,1247,1489,1885,1729,1155,1518,1830,1568,1587
42,724,290,117,994,543,346,370,606,312,131
43,305,355,1019,489,497,754,628,57,108,270
