0,1,2,3,4,5,6,7,8,9,10
0,26,21,16,17,25,5,9,33,65,3
1,1,817,772,110,11,5,17,21,16,25
2,101,543,2,680,738,693,922,823,45,166
3,1497,915,719,508,14,154,11,3,9,25
4,4,557,1208,515,1865,1398,903,1052,940,1164
5,1872,504,693,38,320,102,11,65,5,25
6,6,920,1187,1242,684,1452,302,241,196,154
7,640,496,1473,1551,75,1789,1067,1737,7,494
8,807,1295,1235,1155,769,601,302,49,106,0
9,434,10,49,0,26,9,17,16,21,25
10,1250,1036,35,374,371,208,114,39,11,3
11,1760,12,1270,1764,287,1507,341,44,58,17
12,24,1336,124,170,173,1215,1857,1757,1338,1358
13,833,723,359,167,20,208,103,39,11,9
14,1129,1827,487,1702,930,709,128,34,0,208
15,1095,1659,1788,448,1202,334,72,74,73,226
16,1004,1324,1293,1036,402,243,110,304,465,15
17,755,10,206,43,78,3,65,17,25,16
18,1329,809,1152,552,1259,664,43,228,245,103
19,258,17,21,16,25,5,9,33,65,11
20,1664,953,18,1026,273,264,134,199,69,78
21,19,449,95,180,196,39,17,21,16,25
22,1782,961,1294,1096,829,730,1145,658,149,1045
23,1477,398,1696,1894,1597,549,367,259,74,94
24,369,1111,1080,444,461,368,9,17,21,16
25,541,1018,1069,1094,526,1634,1142,1863,958,613
26,932,1766,818,53,22,470,213,49,58,316
27,1759,1485,507,671,987,23,73,17,25,21
28,1189,943,681,3,17,21,16,25,5,9
29,1064,1516,1368,794,372,22,80,316,17,25
30,668,359,270,20,26,102,17,21,16,25
31,454,371,166,14,114,103,78,102,11,3
32,27,1120,1686,1498,416,275,49,404,59,31
33,762,1499,385,1304,1536,1548,1717,1822,1448,295
34,1826,754,367,153,29,260,316,40,11,5
35,1206,169,30,17,16,21,25,5,9,65
36,241,31,21,16,25,17,5,9,65,33
37,1042,396,1413,84,1174,375,1733,32,1025,317
38,373,796,561,1736,991,1779,1577,1743,215,1729
39,224,1519,60,26,40,65,17,16,21,25
40,1281,852,1592,1719,1893,1595,1232,1522,1517,1050
41,1741,1907,1449,1249,1154,558,1580,1851,1603,1149
42,716,291,544,993,346,370,111,922,126,600
43,305,355,492,1021,500,621,745,57,110,271
44,1546,1447,1341,113,514,736,546,88,39,11
45,1172,1038,1099,441,1269,1305,958,1131,1322,156
46,307,1058,795,1241,1596,37,402,545,142,283
47,702,1731,77,639,576,88,273,404,308,262
48,1905,1748,1794,34,38,59,9,5,16,21
49,887,1710,1841,1107,1870,1272,239,859,916,818
50,774,1453,256,299,54,77,92,320,79,245
51,1062,710,290,158,1253,685,470,566,206,546
52,183,185,147,260,199,40,65,16,21,25
53,225,1030,136,546,134,95,308,59,69,39
54,1429,1778,1600,641,113,1076,42,922,133,376
55,1392,330,41,92,31,25,21,16,17,5
56,1540,1048,1273,906,1526,960,155,68,419,70
57,117,34,66,298,44,199,33,17,21,16
58,25,16,21,17,5,9,65,1454,3,33
59,315,161,246,298,3,65,5,25,16,21
60,389,1009,1890,1435,311,767,261,600,66,262
61,1163,1261,466,1584,1269,554,46,252,1053,566
62,47,1063,430,367,1609,132,308,154,33,5
63,873,583,1604,1300,3,5,16,21,25,17
64,60,57,236,40,11,3,9,5,17,25
65,1073,1196,1578,1805,1299,201,552,1310,48,260
66,268,1267,884,536,149,110,92,298,49,25
67,38,11,3,5,17,16,21,25,9,65
68,1614,372,1191,213,35,199,106,14,114,154
69,50,74,262,39,17,16,21,25,5,9
70,333,771,1694,564,394,563,132,298,135,65
71,1425,1563,770,144,1459,1266,1277,1532,1152,493
72,1040,1649,1803,865,668,742,987,51,97,94
73,1279,38,89,9,5,17,25,21,16,65
74,437,866,52,1331,1631,708,1395,1167,323,701
75,218,657,497,1371,378,53,607,399,191,222
76,578,71,31,11,9,5,17,21,16,25
77,1624,1704,379,55,168,476,250,66,83,208
78,945,327,56,246,116,77,546,449,576,639
79,100,58,16,21,25,17,5,65,9,33
80,446,1230,1786,1703,503,236,59,106,316,69
81,1581,94,28,298,71,33,9,25,21,16
